paralelo,secuencial
1333,1608
1529,1697
1406,1796
1529,1836
1425,1678
1425,1856
1491,1783
1442,1533
1345,1664
1488,1596
1364,1805
1531,1701
1432,1727
1379,1789
1641,1595
1634,1662
1734,1590
1842,1660
1916,1600
1666,1693
1724,1652
1775,1647
1934,1790
1640,1882
1675,1910
1659,1911
1772,1785
1892,1830
1713,1973
1647,1887
1750,1840
1620,2016
1875,2026
1593,1952
1675,1878
1846,1776
1684,1888
1871,1863
1838,1859
1714,1956
1735,1750
1657,1839
1781,1918
1594,1788
1578,1754
1602,1784
1670,1838
1726,1819
1637,1883
1691,1888
1598,1851
1770,1778
1823,1820
1701,1984
1692,1780
1651,1908
1728,1906
1753,1900
1796,1885
1762,1812
1576,1710
1636,1841
1502,1888
1438,1895
1633,1853
1751,1835
1712,1851
1559,1853
1762,1840
1830,1857
1743,1931
1702,1835
1723,1832
1668,1850
1776,1920
1834,1909
1662,1627
1605,2100
1736,2242
1649,1879
1610,1729
1898,1699
1667,1678
1620,1654
1617,1740
1746,1828
1835,1651
1732,1752
1771,1708
1699,1707
1734,1639
1609,1668
1666,1710
1693,1717
1802,1605
1729,1657
1633,1608
1787,1824
1715,1653
1677,1716
1671.31,1795.66
130.90976883242,122.175004469702
